id,telegram_id,symbol,status,old_pnl_usdt,new_pnl_usdt,delta,db_order_id,open_order_id,close_order_id,opened_at,closed_at
743,1087836223,XRPUSDT,closed_tp,0.144,0.0009567799999999997,-0.14304322,2044017885802442752,2044017885802442752,2044041141636870144,2026-04-14T11:40:15.916686+00:00,2026-04-14T15:43:28.340598+00:00
775,6954315669,LINKUSDT,closed_sl,-10.39355,-0.423768364,9.969781635999999,2044061237268754432,2044061237268754432,2729330698060415264,2026-04-14T14:32:32.449801+00:00,2026-04-14T15:43:48.657018+00:00
651,1969755249,BNBUSDT,closed_tp,220.48,3.1260164,-217.3539836,2043797152505634816,2043797152505634816,2044057148195659776,2026-04-13T21:03:07.922777+00:00,2026-04-14T15:43:52.661721+00:00
780,1969755249,UNIUSDT,closed_sl,-63.1703,-1.4356813999999998,61.7346186,2044065594014007296,2044065594014007296,8606890150524190995,2026-04-14T14:49:50.417082+00:00,2026-04-14T15:43:53.6558+00:00
796,7675185179,BNBUSDT,sideways_max_hold_exceeded,-0.4329254,0.005112893333333301,0.43803829333333333,2044116620893110272,2044116620893110272,2044117290656251904,2026-04-14T18:12:35.41778+00:00,2026-04-14T18:15:15.172927+00:00
786,1969755249,ATOMUSDT,closed_sl,-94.1376,-1.2635428960000001,92.874057104,2044070860126257152,2044070860126257152,1468844895121991981,2026-04-14T15:10:46.07914+00:00,2026-04-14T18:43:45.225485+00:00
790,1969755249,ADAUSDT,closed_sl,-55.62,-1.78891842,53.831081579999996,2044074498064248832,2044074498064248832,4036233896752275122,2026-04-14T15:25:13.409248+00:00,2026-04-14T23:56:09.924488+00:00
781,1969755249,AVAXUSDT,closed_sl,-122.0725,-0.7103592,121.3621408,2044065858213261312,2044065858213261312,1883577257253983187,2026-04-14T14:50:53.324106+00:00,2026-04-14T23:56:10.936231+00:00
788,1969755249,AVAXUSDT,closed_sl,-53.548,-0.7096176,52.8383824,2044071752103751680,2044071752103751680,1883577257253983187,2026-04-14T15:14:18.648618+00:00,2026-04-14T23:56:11.274943+00:00
782,282898946,XRPUSDT,closed_sl,-34.6437,-1.0403308999999998,33.6033691,2044068511186046976,2044068511186046976,238357199153840608,2026-04-14T15:01:25.899413+00:00,2026-04-15T01:36:11.798579+00:00
